row_number,variable_name,issue_type,current_value,details
147,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
148,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
149,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
150,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
151,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
152,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
153,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
154,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
155,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
156,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
157,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
158,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
159,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
160,IncomePerMonth,Missing Value,NaN,"Missing value in column ""IncomePerMonth"""
121,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
122,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
123,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
124,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
125,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
126,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
127,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
128,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
129,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
130,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
131,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
132,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
133,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
134,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
135,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
136,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
137,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
