row_number,variable_name,issue_type,current_value,details,missing_category
17,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
18,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
19,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
20,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
22,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
28,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
29,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
40,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
45,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
52,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
54,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
56,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
58,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
60,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
61,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
64,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
67,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
68,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
69,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
70,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
81,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
83,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
84,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
93,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
101,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
105,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
110,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
111,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
112,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
115,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
116,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
118,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
119,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
120,IfUseClothDoYouRegularyWashClothPadWithSoapAndWater,Missing Value,NaN,"Missing value in column ""IfUseClothDoYouRegularyWashClothPadWithSoapAndWater""",conditional
6,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
7,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
10,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
11,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
16,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
17,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
18,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
19,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
20,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
22,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
28,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
29,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
40,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
45,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
52,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
54,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
56,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
58,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
60,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
61,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
64,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
67,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
68,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
69,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
70,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
81,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
83,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
84,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
93,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
101,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
105,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
110,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
